gene_id,sf1,sf2,sf3,sl1,sl2,sl3
PEQU_06191,1874,2613,1606,4891,4975,2629
PEQU_06192,591,797,660,865,664,718
PEQU_06193,30,31,16,731,328,342
PEQU_06194,11,43,28,21,23,34
PEQU_06195,343,572,211,352,333,318
PEQU_06196,3,0,5,5,6,0
PEQU_06197,3,0,0,0,0,0
PEQU_06198,1094,1122,861,988,829,800
PEQU_06199,4574,5939,4106,4733,4939,4516
PEQU_02863,4,8,11,0,8,15
PEQU_02865,47,51,58,306,234,173
PEQU_02867,0,0,0,0,0,0
PEQU_02868,0,0,0,82,118,69
PEQU_02869,120,123,84,3450,3771,2887
PEQU_19648,3634,5797,4531,6806,7807,6288
PEQU_19649,0,0,1,0,0,0
PEQU_19645,700,1181,765,1616,1853,1217
PEQU_19646,22,12,5,0,10,6
PEQU_19647,674,367,517,1641,2467,1657
PEQU_19640,20,41,42,179,212,131
PEQU_19641,0,0,4,12,14,32
PEQU_19642,18,51,63,137,232,104
PEQU_13030,1028,1907,1268,1626,1681,1593
PEQU_22279,141,289,241,1012,1174,854
PEQU_00586,0,0,1,0,0,0
PEQU_08838,809,1072,1002,385,449,254
PEQU_07123,46,62,51,41,55,33
PEQU_08831,0,0,0,0,0,0
PEQU_08832,70,49,23,20,31,26
PEQU_08834,8,4,4,0,0,0
PEQU_08837,146,105,112,142,198,199
PEQU_08836,27,4,4,699,1120,671
PEQU_04329,342,421,318,224,283,261
PEQU_04328,47,54,71,21,22,24
PEQU_03119,0,0,0,0,0,0
PEQU_03118,0,0,0,0,0,0
PEQU_03117,68,45,41,0,0,0
PEQU_04320,1594,2546,2058,3441,3558,3076
PEQU_03115,1032,1406,919,1129,1258,1200
PEQU_04322,518,1315,916,815,761,744
PEQU_03113,1156,2402,1504,781,727,597
PEQU_04324,0,0,0,0,0,0
PEQU_03111,1190,1712,1091,1186,1143,1209
PEQU_03110,0,0,0,0,0,0
PEQU_02248,0,4,0,27,69,50
PEQU_07124,0,0,0,39,59,26
PEQU_02244,213,358,259,628,619,587
PEQU_02246,5,0,0,0,0,0
PEQU_19272,2294,3230,2069,2931,3178,2680
PEQU_02242,1064,1681,908,1237,1241,1147
PEQU_12119,421,587,343,360,369,355
PEQU_12118,219,276,259,2611,2800,2588
PEQU_12115,0,0,0,0,0,0
PEQU_12117,0,0,0,0,0,0
PEQU_12111,180,192,149,207,190,190
PEQU_12110,0,3,0,0,0,0
PEQU_12113,0,0,0,0,0,0
PEQU_12112,266,318,296,66,155,107
PEQU_19278,117,80,136,18,37,46
PEQU_07748,646,757,764,2107,2332,1799
PEQU_07746,2056,989,1125,451,216,338
PEQU_07747,1772,2785,2642,3300,3329,2786
PEQU_07744,286,255,212,185,273,307
PEQU_07745,0,0,4,0,0,0
PEQU_07742,4,0,10,0,0,0
PEQU_07743,2,0,0,2,12,4
PEQU_07741,521,664,371,802,850,671
PEQU_03372,855,600,557,218,259,209
PEQU_21238,0,0,0,0,0,0
PEQU_21239,97,292,160,2071,2488,2183
PEQU_21236,0,0,0,215,304,171
PEQU_21235,45,36,54,1624,1998,1367
PEQU_21232,0,0,0,0,0,0
PEQU_14610,287,368,348,458,374,324
PEQU_14611,264,341,403,487,459,399
PEQU_14612,0,0,0,0,0,0
PEQU_13641,97,54,46,19,39,21
PEQU_14614,316,626,508,413,496,560
PEQU_13647,30,19,30,67,64,42
PEQU_13644,149,239,67,6815,5759,4948
PEQU_14617,1969,2794,2790,5697,6194,5014
PEQU_14618,18,28,6,18,28,26
PEQU_14619,420,618,330,506,510,434
